timestep,time,x,y,theta,v,omega,solver_computation_time,solver_raw_status,solver_status_code,solver_success
0,0.1,0.30905645202088866,0.2,-1.213530606042587e-10,0.0905645202088868,-1.2135306060425869e-09,0.06014704704284668,success,0,True
1,0.2,0.31597323160667523,0.19999999999916063,0.11075301595397118,0.06916779585786549,1.1075301607532424,0.06016898155212402,success,0,True
2,0.30000000000000004,0.3237143512953121,0.2008608751309078,0.1816680408009515,0.07788840736994349,0.7091502484698031,0.06198573112487793,success,0,True
3,0.4,0.3335824332333933,0.20267357594657665,0.23621309503515453,0.10033191186447665,0.5454505423420304,0.050684452056884766,success,0,True
4,0.5,0.3412378593455358,0.20451628838827762,0.31965696945823335,0.07874080143183218,0.8344387442307881,0.058603763580322266,success,0,True
5,0.6000000000000001,0.3514346654837233,0.20789152040831768,0.3586287055979238,0.10740905297454312,0.38971736139690466,0.05858635902404785,success,0,True
6,0.7000000000000001,0.36003109424761887,0.2111137892624451,0.4530987675478026,0.09180501296825237,0.9447006194987879,0.0532686710357666,success,0,True
7,0.8,0.3698969516517926,0.2159173040407252,0.4972657635488602,0.1097309876674067,0.4416699600105759,0.06203722953796387,success,0,True
8,0.9,0.3801791277810745,0.22149803242295077,0.5468685857776018,0.11699045911088315,0.49602822228741555,0.05692553520202637,success,0,True
9,1.0,0.3889467037507882,0.2268357760612231,0.5868615861173371,0.10264594270238775,0.3999300033973532,0.05482959747314453,success,0,True
10,1.1,0.40042034746486166,0.23446597610743986,0.6138766318276946,0.13779131061964078,0.2701504571035747,0.052986860275268555,success,0,True
11,1.2000000000000002,0.4086545281429879,0.2402686434678394,0.7092872858052247,0.10073364876518368,0.9541065397753008,0.05843043327331543,success,0,True
12,1.3,0.41864428930553477,0.248842757211705,0.7513635905045116,0.1316475425435181,0.4207630469928689,0.05999588966369629,success,0,True
13,1.4000000000000001,0.42617908453615655,0.2558813614142426,0.7911197097224247,0.10310920826355958,0.3975611921791313,0.05774259567260742,success,0,True
