time,stage,v,omega,sigma_f,sigma_l,sigma_psi,P_lpsi
0.0,0,0.0905645202088868,-1.2135306060425869e-09,0.00020000000465328398,0.0002499999842720744,0.0002499999842720744,-3.8748069596269793e-28
0.0,1,0.09342219659491169,-1.1536140933648032e-09,0.00020000002460710009,0.0002500000002351254,0.0002500000002351254,5.660282513055426e-10
0.0,2,0.0955066362892785,-1.0934256820403012e-09,0.00020000002460710009,0.0002500000002351254,0.0002500000002351254,1.1499169800237406e-09
0.0,3,0.09714885934212128,-1.0330545875286451e-09,0.00020000002460710009,0.0002500000002351254,0.0002500000002351254,1.7468334568317313e-09
0.0,4,0.09855570662265149,-9.725623594603126e-10,0.00020000002460710009,0.0002500000002351254,0.0002500000002351254,2.3540138277199893e-09
0.0,5,0.09986073024995966,-9.119900668257564e-10,0.00020000002460710009,0.0002500000002351254,0.0002500000002351254,2.9699869941115612e-09
0.0,6,0.10115405023420689,-8.513639779903078e-10,0.00020000002460710009,0.0002500000002351254,0.0002500000002351254,3.594116558173809e-09
0.0,7,0.10249949143391249,-7.906999655873747e-10,0.00020000002460710009,0.0002500000002351254,0.0002500000002351254,4.226329372137602e-09
0.0,8,0.10394390064577776,-7.30006861964923e-10,0.00020000002460710009,0.0002500000002351254,0.0002500000002351254,4.866951193599556e-09
0.0,9,0.10552149168583462,-6.692889696911829e-10,0.00020000002460710009,0.0002500000002351254,0.0002500000002351254,5.516600572635667e-09
0.0,10,0.1072548246794193,-6.085479030567919e-10,0.00020000002460710009,0.0002500000002351254,0.0002500000002351254,6.176109895672133e-09
0.0,11,0.10915325680290558,-5.477839073802791e-10,0.00020000002460710009,0.0002500000002351254,0.0002500000002351254,6.846452549918504e-09
0.0,12,0.11120919315938053,-4.869967753486367e-10,0.00020000002460710009,0.0002500000002351254,0.0002500000002351254,7.528660404936664e-09
0.0,13,0.11339207740429803,-4.2618645568248995e-10,0.00020000002460710009,0.0002500000002351254,0.0002500000002351254,8.223717862182792e-09
0.0,14,0.11563969160791342,-3.6535342922973765e-10,0.00020000002460710009,0.0002500000002351254,0.0002500000002351254,8.932418345959655e-09
0.0,15,0.11785960034898914,-3.0449891094860477e-10,0.00020000002460710009,0.0002500000002351254,0.0002500000002351254,9.655166418509114e-09
0.0,16,0.11992785757046695,-2.4362492280033355e-10,0.00020000002460710009,0.0002500000002351254,0.0002500000002351254,1.0391788920690297e-08
0.0,17,0.12162340729683635,-1.827342722040534e-10,0.00020000002460710009,0.0002500000002351254,0.0002500000002351254,1.1141338030505717e-08
0.0,18,0.12257746844170529,-1.2183046240968359e-10,0.00020000002460710009,0.0002500000002351254,0.0002500000002351254,1.1901484326110943e-08
0.0,19,0.12222422449244476,-6.091755497334638e-11,0.00020000002460710009,0.0002500000002351254,0.0002500000002351254,1.2667593503871603e-08
0.0,20,,,0.00020000002460710009,0.0002500000002351254,0.0002500000002351254,1.3431494906949383e-08
