solve_step,horizon_stage,phi,d_mf_mask,phi_gt_d_mf_mask,mf_valid,mf_active,row_g_residual,row_g_feasible,row_m_residual_before_slack,row_m_lower_slack,row_m_residual_after_slack,row_m_feasible_before_slack,row_m_feasible_after_slack
0,1,0.029999956488609314,0.001,True,True,True,0.041340079398876184,True,0.30000001192092896,7.341098147272216e-12,0.30000001192827,True,True
0,2,0.029999956488609314,0.001,True,True,True,0.0536043047548147,True,0.30000001192092896,7.341098147272216e-12,0.30000001192827,True,True
0,3,0.029999956488609314,0.001,True,True,True,0.06578467714945746,True,0.30000001192092896,7.341098147272216e-12,0.30000001192827,True,True
0,4,0.029999956488609314,0.001,True,True,True,0.07787059144135444,True,0.30000001192092896,7.341098147272216e-12,0.30000001192827,True,True
0,5,0.029999956488609314,0.001,True,True,True,0.08985069674947077,True,0.30000001192092896,7.341098147272216e-12,0.30000001192827,True,True
0,6,0.029999956488609314,0.001,True,True,True,0.10171429383227204,True,0.30000001192092896,7.341098147272216e-12,0.30000001192827,True,True
0,7,0.029999956488609314,0.001,True,True,True,0.11345249979170913,True,0.30000001192092896,7.341098147272216e-12,0.30000001192827,True,True
0,8,0.029999956488609314,0.001,True,True,True,0.12505935987261918,True,0.30000001192092896,7.341098147272216e-12,0.30000001192827,True,True
0,9,0.029999956488609314,0.001,True,True,True,0.13653302798493516,True,0.30000001192092896,7.341098147272216e-12,0.30000001192827,True,True
0,10,0.029999956488609314,0.001,True,True,True,0.14787709228856494,True,0.30000001192092896,7.341098147272216e-12,0.30000001192827,True,True
0,11,0.029999956488609314,0.001,True,True,True,0.1591020672116772,True,0.30000001192092896,7.341098147272216e-12,0.30000001192827,True,True
0,12,0.029999956488609314,0.001,True,True,True,0.17022698027372074,True,0.30000001192092896,7.341098147272216e-12,0.30000001192827,True,True
0,13,0.029999956488609314,0.001,True,True,True,0.18128081147302655,True,0.30000001192092896,7.341098147272216e-12,0.30000001192827,True,True
0,14,0.029999956488609314,0.001,True,True,True,0.19230324297920431,True,0.30000001192092896,7.341098147272216e-12,0.30000001192827,True,True
0,15,0.029999956488609314,0.001,True,True,True,0.20334369692186116,True,0.30000001192092896,7.341098147272216e-12,0.30000001192827,True,True
0,16,0.029999956488609314,0.001,True,True,True,0.21445697795624485,True,0.30000001192092896,7.341098147272216e-12,0.30000001192827,True,True
0,17,0.029999956488609314,0.001,True,True,True,0.2256931497618314,True,0.30000001192092896,7.341098147272216e-12,0.30000001192827,True,True
0,18,0.029999956488609314,0.001,True,True,True,0.2370790253140429,True,0.30000001192092896,7.341098147272216e-12,0.30000001192827,True,True
0,19,0.029999956488609314,0.001,True,True,True,0.24858967059203319,True,0.30000001192092896,7.341098147272216e-12,0.30000001192827,True,True
0,20,0.029999956488609314,0.001,True,True,True,0.26011141598113297,True,0.30000001192092896,3.3089529043063402e-12,0.3000000119242379,True,True
1,1,0.0299999937415123,0.001,True,True,True,0.02960553669075161,True,0.30000001192092896,9.04502492057841e-13,0.30000001192183345,True,True
1,2,0.0299999937415123,0.001,True,True,True,0.030234593144651378,True,0.30000001192092896,9.04502492057841e-13,0.30000001192183345,True,True
1,3,0.0299999937415123,0.001,True,True,True,0.030870832532552045,True,0.30000001192092896,9.04502492057841e-13,0.30000001192183345,True,True
1,4,0.030000001192092896,0.001,True,True,True,0.031496021519540146,True,0.30000001192092896,9.04502492057841e-13,0.30000001192183345,True,True
1,5,0.030000001192092896,0.001,True,True,True,0.032089754944287674,True,0.30000001192092896,9.04502492057841e-13,0.30000001192183345,True,True
1,6,0.030000001192092896,0.001,True,True,True,0.03262978117489146,True,0.30000001192092896,9.04502492057841e-13,0.30000001192183345,True,True
