timestep,time,x,y,theta,v,omega,solver_computation_time,solver_raw_status,solver_status_code,solver_success
0,0.1,0.3090564520233294,0.2,-3.0158351909480827e-10,0.09056452023329374,-3.0158351909480822e-09,0.06634378433227539,success,0,True
1,0.2,0.31597323141701295,0.199999999997914,0.11075306852428853,0.06916779393683581,1.1075306882587204,0.06062722206115723,success,0,True
2,0.30000000000000004,0.32274768974199636,0.20075337492668285,0.20024652749874564,0.06816220314825108,0.8949345897445711,0.06558990478515625,success,0,True
3,0.4,0.33054159250590937,0.20233527769747436,0.2901809528508128,0.0795281941638113,0.8993442535206719,0.059572458267211914,success,0,True
4,0.5,0.33931019882338515,0.20495367003696927,0.369271946115436,0.09151198566002272,0.7909099326462322,0.05045795440673828,success,0,True
5,0.6000000000000001,0.34904405325812876,0.20872092300436387,0.44182478311838647,0.10437438243032707,0.7255283700295047,0.054436445236206055,success,0,True
6,0.7000000000000001,0.35937623137084107,0.2136081637674257,0.5046957969378594,0.11429743077993654,0.6287101381947295,0.056986093521118164,success,0,True
7,0.8,0.3701129484869923,0.2195392922620207,0.5618608191153011,0.12266025421938878,0.5716502217744168,0.059653282165527344,success,0,True
8,0.9,0.38103564406896356,0.2264156185672228,0.6152788495291671,0.12906941629682428,0.5341803041386607,0.05695152282714844,success,0,True
9,1.0,0.3920343488658839,0.23418956399833593,0.6667296756421716,0.13468694620330646,0.5145082611300441,0.05194354057312012,success,0,True
10,1.1,0.4028856298303052,0.2427289243607737,0.7172426049960862,0.13808366086122753,0.5051292935391458,0.05391073226928711,success,0,True
11,1.2000000000000002,0.41331612473130586,0.25182641392030236,0.7687314946167318,0.13840503609534394,0.5148888962064565,0.0640256404876709,success,0,True
12,1.3,0.4235457897358985,0.26172064948073676,0.8231497030472734,0.1423172313641436,0.5441820843054151,0.06839823722839355,success,0,True
13,1.4000000000000001,0.433306135491904,0.2722472216613953,0.8817105876418008,0.14355245422889443,0.5856088459452735,0.07181358337402344,success,0,True
14,1.5,0.4422196920009621,0.2830672678532092,0.9446940187107021,0.14018733510312503,0.6298343106890137,0.05827617645263672,success,0,True
15,1.6,0.4505037996748091,0.29452266658741166,1.013601345946744,0.14136923290145495,0.6890732723604183,0.05983710289001465,success,0,True
16,1.7000000000000002,0.45800269045186937,0.3065584664687298,1.0903836129042757,0.1418075603306881,0.7678226695753166,0.06203150749206543,success,0,True
17,1.8,0.4645915116461648,0.319201667329219,1.1763679295879645,0.1425703660404472,0.8598431668368879,0.05437755584716797,success,0,True
18,1.9000000000000001,0.4702050310471027,0.33268789025718304,1.2477278792530042,0.1460786804867327,0.7135994966503967,0.05492973327636719,success,0,True
19,2.0,0.47506042682630834,0.34719034062529625,1.3084022040798886,0.15293656686754656,0.6067432482688442,0.05446028709411621,success,0,True
