solve_step,horizon_stage,phi,d_mf_mask,phi_gt_d_mf_mask,mf_valid,mf_active,row_g_residual,row_g_feasible,row_m_residual_before_slack,row_m_lower_slack,row_m_residual_after_slack,row_m_feasible_before_slack,row_m_feasible_after_slack
0,1,0.10499998927116394,0.001,True,True,True,0.10399999069441965,True,0.20000000298023224,1.965004524259814e-12,0.20000000298219725,True,True
0,2,0.10499998927116394,0.001,True,True,True,0.10399999215117844,True,0.20000000298023224,1.965004524259814e-12,0.20000000298219725,True,True
0,3,0.10499998927116394,0.001,True,True,True,0.10399999363089701,True,0.20000000298023224,1.965004524259814e-12,0.20000000298219725,True,True
0,4,0.10499998927116394,0.001,True,True,True,0.10399999512751718,True,0.20000000298023224,1.965004524259814e-12,0.20000000298219725,True,True
0,5,0.10499998927116394,0.001,True,True,True,0.10399999663777515,True,0.20000000298023224,1.965004524259814e-12,0.20000000298219725,True,True
0,6,0.10499998927116394,0.001,True,True,True,0.10399999816021505,True,0.20000000298023224,1.965004524259814e-12,0.20000000298219725,True,True
0,7,0.10499998927116394,0.001,True,True,True,0.10399999969460752,True,0.20000000298023224,1.965004524259814e-12,0.20000000298219725,True,True
0,8,0.10499998927116394,0.001,True,True,True,0.10400000124159972,True,0.20000000298023224,1.965004524259814e-12,0.20000000298219725,True,True
0,9,0.10499998927116394,0.001,True,True,True,0.10400000280248953,True,0.20000000298023224,1.965004524259814e-12,0.20000000298219725,True,True
0,10,0.10499998927116394,0.001,True,True,True,0.10400000437905613,True,0.20000000298023224,1.965004524259814e-12,0.20000000298219725,True,True
0,11,0.10499998927116394,0.001,True,True,True,0.1040000059734009,True,0.20000000298023224,1.965004524259814e-12,0.20000000298219725,True,True
0,12,0.10499998927116394,0.001,True,True,True,0.10400000758776407,True,0.20000000298023224,1.965004524259814e-12,0.20000000298219725,True,True
0,13,0.10499998927116394,0.001,True,True,True,0.10400000922428657,True,0.20000000298023224,1.965004524259814e-12,0.20000000298219725,True,True
0,14,0.10499998927116394,0.001,True,True,True,0.10400001088468541,True,0.20000000298023224,1.965004524259814e-12,0.20000000298219725,True,True
