timestep,x,y,theta,sdf_value,risk_margin_stage0,risk_margin_5,risk_margin_max,path_s,predicted_s,solver_status,planner_projected_s_raw,planner_projected_s,planner_slice_start_s,planner_slice_lookback,slice_start_s,slice_end_s,slice_start_idx,slice_end_idx,slice_n_segments
0,0.075,0.7949999999999999,-1.5707963267948966,0.029999956488609314,,,,0.012781250000000003,0.022310273765604693,0,0.011250000000000093,0.04125000000000009,0.011250000000000093,0.03,0.0,2.891614275999009,0,15,16
1,0.075,0.7826598627763681,-1.570796265819441,0.0299999937415123,,,,0.023590137223631902,0.032131670215357115,0,0.023590137223631902,0.0535901372236319,0.023590137223631902,0.03,0.0,2.891614275999009,0,15,16
2,0.07500000069728052,0.7712244332877891,-1.561998602495326,0.0293419249355793,,,,0.03502556671221091,0.04347222975600095,0,0.03502556671221091,0.06502556671221091,0.03502556671221091,0.03,0.0,2.891614275999009,0,15,16
3,0.0751124171880577,0.7584468573385176,-1.5555495575705434,0.02874934859573841,,,,0.04076041723170007,0.05215066236586789,0,0.047803142661482445,0.07780314266148244,0.047803142661482445,0.03,0.0,2.891614275999009,0,15,16
4,0.07533316221442919,0.7439698282860073,-1.580536352662495,0.02893848903477192,,,,0.055215066236586785,0.06347202684527589,0,0.0622801717139927,0.09228017171399269,0.062280171713992694,0.03,0.0,2.891614275999009,0,15,16
5,0.07522494466635621,0.7328595779241331,-1.5910682612504174,0.028264012187719345,,,,0.056347202684527586,0.07003266451387712,0,0.07339042207586689,0.10339042207586689,0.07339042207586689,0.03,0.0,2.891614275999009,0,15,16
6,0.07492734350445197,0.7181811369046317,-1.5789736648660138,0.029315557330846786,,,,0.07125408306423464,0.08392073876017801,0,0.08806886309536832,0.11806886309536832,0.08806886309536832,0.03,0.0,2.891614275999009,0,15,16
7,0.07480515785211478,0.7032394862365569,-1.4892685398601222,0.023846810683608055,,,,0.0875881108140267,0.09575928166632221,0,0.10301051376344317,0.13301051376344317,0.10301051376344317,0.03,0.0,2.891614275999009,0,15,16
8,0.07568262000038573,0.6925006054220852,-1.4368478665248259,0.019704366102814674,,,,0.08936389224994834,0.0995090488101312,0,0.11374939457791478,0.14374939457791477,0.11374939457791478,0.03,0.0,2.891614275999009,0,15,16
9,0.07676389473161695,0.6844766224039562,-1.4049086357988674,0.016469264402985573,,,,0.10491408354177297,0.11515909079062583,0,0.1217733775960438,0.1517733775960438,0.12177337759604381,0.03,0.0,2.891614275999009,0,15,16
10,0.0789465056418991,0.6714403737211484,-1.3494716897891967,0.010686997324228287,,,,0.12303181815812517,0.1292845575206293,0,0.13480962627885162,0.16480962627885162,0.13480962627885162,0.03,0.0,2.891614275999009,0,15,16
11,0.08072450870507175,0.6635385140409864,-1.2940485884076243,0.0054956418462097645,,,,0.12585691150412587,0.13265602415573166,0,0.14271148595901362,0.17271148595901362,0.14271148595901362,0.03,0.0,2.891614275999009,0,15,16
12,0.08183726798285337,0.6596208499734743,-1.266367704813554,0.0027507932391017675,,,,0.12653120483114633,0.13405050092411075,0,0.14662915002652577,0.17662915002652577,0.14662915002652577,0.03,0.0,2.891614275999009,0,15,16
13,0.08285256587816556,0.6563894273572051,-1.2539602244507055,0.001236461102962494,,,,0.12681010018482214,0.13622704034842603,0,0.14986057264279495,0.17986057264279495,0.14986057264279495,0.03,0.0,2.891614275999009,0,15,16
14,0.08529069341411999,0.6489534301542467,-1.2597777833046635,0.0016235709190368652,,,,0.14315108407839586,0.15091016134893964,0,0.15729656984575335,0.18729656984575335,0.15729656984575335,0.03,0.0,2.891614275999009,0,15,16
15,0.086486057574826,0.645234778077722,-1.372599646771024,0.008363757282495499,,,,0.14645478630351141,0.15730374692964905,0,0.16101522192227802,0.19101522192227802,0.16101522192227802,0.03,0.0,2.891614275999009,0,15,16
16,0.08902019206323898,0.6326166788623607,-1.4492679605830319,0.011575955897569656,,,,0.16432593673241225,0.17188634924098986,0,0.1736333211376393,0.2036333211376393,0.1736333211376393,0.03,0.0,2.891614275999009,0,15,16
17,0.08988407939369168,0.6255431847876011,-1.4862975619695107,0.01274564117193222,,,,0.16797158731024747,0.1786550753611504,0,0.18070681521239895,0.21070681521239895,0.18070681521239895,0.03,0.0,2.891614275999009,0,15,16
18,0.09099874741200603,0.6123830654445503,-1.4831151999449144,0.012690234929323196,,,,0.18663014572431638,0.19483818982879192,0,0.1938669345554497,0.2238669345554497,0.1938669345554497,0.03,0.0,2.891614275999009,0,15,16
19,0.09163490300167862,0.6051463370194493,-1.3840480648955142,0.01139482855796814,,,,0.20110366298055074,0.20660700114581443,0,0.20110366298055074,0.23110366298055074,0.20110366298055074,0.03,0.0,2.891614275999009,0,15,16
20,0.09269661851408158,0.5995273058279827,-1.3369023083055536,0.010852646082639694,,,,0.20672269417201727,0.21240687775383166,0,0.20672269417201727,0.23672269417201727,0.20672269417201727,0.03,0.0,2.891614275999009,0,15,16
21,0.09336881639844027,0.5967059634775995,-1.3134169079627416,0.010604273527860641,,,,0.20954403652240053,0.2165191377872756,0,0.20954403652240053,0.23954403652240053,0.20954403652240053,0.03,0.0,2.891614275999009,0,15,16
22,0.09577766090349905,0.5875544256890781,-1.1934169082353645,0.009992916136980057,,,,0.21869557431092193,0.22550099573959984,0,0.21869557431092193,0.24869557431092193,0.21869557431092193,0.03,0.0,2.891614275999009,0,15,16
23,0.09752049997969335,0.5831575056161739,-1.0760667497144518,0.009183794260025024,,,,0.22797380411636772,0.23262503178342261,0,0.22797380411636772,0.2579738041163677,0.22797380411636772,0.03,0.2250000000000001,2.891614275999009,1,15,15
24,0.100363217185811,0.5778881277121557,-1.0196045232079722,0.008865687996149063,,,,0.2323369660537785,0.23797751997566532,0,0.2323369660537785,0.2623369660537785,0.2323369660537785,0.03,0.2250000000000001,2.891614275999009,1,15,15
25,0.10192798039318153,0.575342746913599,-0.8996045567989186,0.007979121059179306,,,,0.2378244379993917,0.24662376488971982,0,0.2346263508576046,0.2646263508576046,0.2346263508576046,0.03,0.2250000000000001,2.891614275999009,1,15,15
26,0.10835052598783257,0.5672558929064102,-0.8142714638622134,0.007764078676700592,,,,0.2432766003710156,0.25309244992014807,0,0.2432766003710156,0.2732766003710156,0.2432766003710156,0.03,0.2250000000000001,2.891614275999009,1,15,15
27,0.113960741713903,0.5613119785752079,-0.7759751721108632,0.007855497300624847,,,,0.2514046224960075,0.2620760411849907,0,0.2504785490791505,0.2804785490791505,0.25047854907915046,0.03,0.2250000000000001,2.891614275999009,1,15,15
28,0.12010196736885906,0.5552854133018372,-0.6559751731882356,0.00867004320025444,,,,0.2652807030888744,0.2733695473467564,0,0.2582103945607193,0.2882103945607193,0.25821039456071926,0.03,0.2250000000000001,2.891614275999009,1,15,15
29,0.12736053507856104,0.5496986692167333,-0.5861214711848486,0.009428344666957855,,,,0.26686316011602257,0.27899176213399507,0,0.26686316011602257,0.29686316011602254,0.2668631601160225,0.03,0.2250000000000001,2.891614275999009,1,15,15
