timestep,time,x,y,theta,v,omega,controller_computation_time,solver_computation_time,solver_raw_status,solver_status_code,solver_success
0,0.1,0.075,0.7807206412298408,-1.5660363999947169,0.14279358770159198,0.0475992680017967,0.40736824698979035,0.0002573590027168393,success,0,True
1,0.2,0.07511661571593904,0.7562213495146151,-1.5837237966056583,0.24499569256885476,-0.17687396610941414,0.031649479002226144,0.00026085099671036005,success,0,True
2,0.30000000000000004,0.07481019500992235,0.7325196011687116,-1.5455987341604975,0.23703728995700482,0.381250624451608,0.029485160019248724,0.00032082200050354004,success,0,True
3,0.4,0.07539286358942132,0.7094005172542054,-1.5077567896729605,0.23126425225691888,0.3784194448753719,0.027354071993613616,0.00030744000105187297,success,0,True
4,0.5,0.07690913895028059,0.6853796194699855,-1.4904527634764073,0.24068706266226475,0.17304026196553193,0.03388541901949793,0.00032349801040254533,success,0,True
5,0.6000000000000001,0.07888748846633307,0.660809003048867,-1.4231952460573385,0.24650133024415888,0.6725751741906887,0.03205630398588255,0.00032621200080029666,success,0,True
6,0.7000000000000001,0.08171298194675548,0.6418054510781125,-1.3231952461440197,0.19212454317787683,0.9999999991331872,0.030468996992567554,0.00034209800651296973,success,0,True
7,0.8,0.08537740292695264,0.6273094355898984,-1.2231952461472257,0.14952004753699533,0.9999999999679402,0.030950791988288984,0.0003201100043952465,success,0,True
8,0.9,0.08971647942389079,0.6153333683600276,-1.1231952461472603,0.12737887232216563,0.999999999999655,0.032024299987824634,0.000300908024655655,success,0,True
9,1.0,0.09629028432321529,0.6016407882902416,-1.0231952461495433,0.15188866311278318,0.999999999977169,0.030274410004494712,0.00028088598628528416,success,0,True
10,1.1,0.10402951748426467,0.588949555033388,-0.9231952461521802,0.1486482867378409,0.9999999999736302,0.031523409008514136,0.0002851949830073863,success,0,True
11,1.2000000000000002,0.1126199605100004,0.5775929345512459,-0.8231952461521804,0.14239681883870106,0.9999999999999972,0.03321391099598259,0.0002999239950440824,success,0,True
12,1.3,0.12222080030496077,0.5672374442941494,-0.7231952461521807,0.14121342118698121,0.9999999999999974,0.03024526798981242,0.00028165598632767797,success,0,True
13,1.4000000000000001,0.13293754868303845,0.5577773740916919,-0.623195246152181,0.14294811087749779,0.9999999999999963,0.028383072989527136,0.0003026830090675503,success,0,True
14,1.5,0.1450234496033502,0.5490907076586627,-0.5231952461604332,0.1488378899253508,0.9999999999174775,0.031825585989281535,0.00031489800312556326,success,0,True
15,1.6,0.15852810402771056,0.5413010561335536,-0.4231952461604337,0.15590200832703532,0.9999999999999953,0.03238252500887029,0.00030141198658384383,success,0,True
16,1.7000000000000002,0.18148269391121463,0.5309620678176614,-0.32319524616043416,0.25175541227866827,0.999999999999995,0.029576177010312676,0.00030001901905052364,success,0,True
17,1.8,0.20259381220549125,0.523891124192585,-0.2231952461604348,0.22263817268922,0.9999999999999938,0.030618271994171664,0.0003022319870069623,success,0,True
18,1.9000000000000001,0.22017573580630304,0.519900434408951,-0.1231952461625026,0.18029133158695798,0.9999999999793219,0.029947416012873873,0.0002786179829854518,success,0,True
19,2.0,0.23882497115218504,0.5175912431812221,-0.023195246178490697,0.18791656209933025,0.999999999840119,0.03201433800859377,0.0002985780010931194,success,0,True
20,2.1,0.25906994139655226,0.5171215718787419,0.07680475380938233,0.20250417559341516,0.9999999998787302,0.03253323401440866,0.0003224250103812665,success,0,True
21,2.2,0.2802131892852289,0.5187486744964402,0.17680475380208982,0.21205763231031102,0.9999999999270749,0.02908503799699247,0.00029922599787823856,success,0,True
22,2.3000000000000003,0.3120400779144306,0.5244351969717824,0.27680475379851144,0.32330904374579145,0.9999999999642162,0.033708650997141376,0.00032310900860466063,success,0,True
23,2.4000000000000004,0.3365133062854368,0.5313879931000529,0.35615949645056727,0.2544170357701534,0.7935474265205583,0.030165980977471918,0.0003097750013694167,success,0,True
24,2.5,0.3579457388195924,0.5393613838827174,0.3983665668997415,0.22867534298743483,0.422070704491742,0.02839319797931239,0.0002617819991428405,success,0,True
25,2.6,0.3794057658254098,0.5483932467749509,0.4242038741132616,0.2328319794174581,0.258373072135201,0.034095954993972555,0.0002595309924799949,success,0,True
26,2.7,0.4006960127492356,0.5580084396421008,0.44376398964196195,0.23360790824583919,0.19560115528700328,0.028011698013870046,0.0002844469854608178,success,0,True
27,2.8000000000000003,0.4216831274260614,0.5679854396685338,0.4617402968991198,0.23237889576845838,0.17976307257157792,0.02502371498849243,0.0003446050104685128,success,0,True
28,2.9000000000000004,0.4428486461097942,0.5785177854640466,0.5289103965490949,0.23641266656160784,0.6717009964997507,0.024809276015730575,0.0002837349893525243,success,0,True
29,3.0,0.46290222754584487,0.5902381870218814,0.4843387666768213,0.23227439400183789,-0.4457162987227359,0.03017594199627638,0.000299034989438951,success,0,True
30,3.1,0.48324411633659187,0.6009408295575247,0.4056486944110388,0.22985625874030058,-0.7869007226578251,0.031137046025833115,0.0003254309995099902,success,0,True
31,3.2,0.5016090108834408,0.6088279576892494,0.35473229059041816,0.19986899256341004,-0.5091640382062061,0.03190175199415535,0.0003190480056218803,success,0,True
32,3.3000000000000003,0.517498922911849,0.61471359164554,0.32434308759387265,0.16944910484803172,-0.3038920299654554,0.030437381996307522,0.0003022350138053298,success,0,True
33,3.4000000000000004,0.5397139048540397,0.622182633427515,0.3047317438284362,0.23436979494652188,-0.1961134376543643,0.03187423199415207,0.00030377699295058846,success,0,True
34,3.5,0.5624646428331883,0.6293383868108885,0.3165918984187158,0.23849546852708417,0.1186015459027962,0.03348171600373462,0.0003276239731349051,success,0,True
35,3.6,0.5849655239192404,0.6367099293088254,0.2992231236770156,0.23677611544400845,-0.17368774741700233,0.021444690006319433,0.00015974199050106108,success,0,True
36,3.7,0.6073063849373335,0.6436017551633489,0.25150553177931234,0.2337972058513167,-0.4771759189770322,0.024003772996366024,0.00017929301247932017,success,0,True
37,3.8000000000000003,0.6295906078871824,0.6493276022580488,0.1515055317811561,0.23008083740947483,-0.9999999999815623,0.022868756990646943,0.00018086101044900715,success,0,True
38,3.9000000000000004,0.6596142527215034,0.6539114769631017,0.07896024160877999,0.30371551762283744,-0.7254529017237612,0.02391114499187097,0.00018082500901073217,success,0,True
