solve_step,horizon_stage,phi,d_mf_mask,phi_gt_d_mf_mask,mf_valid,mf_active,row_g_residual,row_g_feasible,row_m_residual_before_slack,row_m_lower_slack,row_m_residual_after_slack,row_m_feasible_before_slack,row_m_feasible_after_slack
0,1,0.10499998927116394,0.001,True,False,False,0.10399999057903675,True,,,,,
0,2,0.10499998927116394,0.001,True,False,False,0.10399999192629139,True,,,,,
0,3,0.10499998927116394,0.001,True,False,False,0.10399999330202797,True,,,,,
0,4,0.10499998927116394,0.001,True,False,False,0.10399999470000929,True,,,,,
0,5,0.10499998927116394,0.001,True,False,False,0.10399999611691083,True,,,,,
0,6,0.10499998927116394,0.001,True,False,False,0.103999997551289,True,,,,,
0,7,0.10499998927116394,0.001,True,False,False,0.10399999900297002,True,,,,,
0,8,0.10499998927116394,0.001,True,False,False,0.10400000047268076,True,,,,,
0,9,0.10499998927116394,0.001,True,False,False,0.10400000196180995,True,,,,,
0,10,0.10499998927116394,0.001,True,False,False,0.10400000347223082,True,,,,,
0,11,0.10499998927116394,0.001,True,False,False,0.10400000500613663,True,,,,,
0,12,0.10499998927116394,0.001,True,False,False,0.10400000656585412,True,,,,,
0,13,0.10499998927116394,0.001,True,False,False,0.10400000815360341,True,,,,,
0,14,0.10499998927116394,0.001,True,False,False,0.10400000977117235,True,,,,,
0,15,0.10499998927116394,0.001,True,False,False,0.10400001141946746,True,,,,,
0,16,0.10499998927116394,0.001,True,False,False,0.1040000130980851,True,,,,,
0,17,0.10499998927116394,0.001,True,False,False,0.10400001480486434,True,,,,,
0,18,0.10499998927116394,0.001,True,False,False,0.10400001653450897,True,,,,,
0,19,0.10499998927116394,0.001,True,False,False,0.1040000182764908,True,,,,,
0,20,0.10499998927116394,0.001,True,False,False,0.10400002001225367,True,,,,,
1,1,0.10499998927116394,0.001,True,False,False,0.0951945664672039,True,,,,,
1,2,0.10499998927116394,0.001,True,False,False,0.08621594061279095,True,,,,,
1,3,0.10499998927116394,0.001,True,False,False,0.0771310384723107,True,,,,,
1,4,0.10499998927116394,0.001,True,False,False,0.06801727677752764,True,,,,,
1,5,0.10499998927116394,0.001,True,False,False,0.058955640982935625,True,,,,,
1,6,0.10499998927116394,0.001,True,False,False,0.12502343218752496,True,,,,,
1,7,0.10499998927116394,0.001,True,False,False,0.12315847978288902,True,,,,,
1,8,0.10499998927116394,0.001,True,False,False,0.12002513184466071,True,,,,,
1,9,0.10499998927116394,0.001,True,False,False,0.11572107127845016,True,,,,,
1,10,0.1011822372674942,0.001,True,False,False,0.09043476750799784,True,,,,,
1,11,0.09045673906803131,0.001,True,False,False,0.08313559832778705,True,,,,,
1,12,0.07954142987728119,0.001,True,False,False,0.07632773745293131,True,,,,,
1,13,0.06842048466205597,0.001,True,False,False,0.06999740685159733,True,,,,,
1,14,0.05708129703998566,0.001,True,False,False,0.06412850684501065,True,,,,,
1,15,0.04551731050014496,0.001,True,False,False,0.058705235362229546,True,,,,,
1,16,0.033731356263160706,0.001,True,False,False,0.05371734277013457,True,,,,,
1,17,0.021738573908805847,0.001,True,False,False,0.04916779910652597,True,,,,,
1,18,0.00957624614238739,0.001,True,False,False,0.04508518366547254,True,,,,,
1,19,-0.0026815086603164673,0.001,False,False,False,1.1601830607332886e-14,True,,,,,
1,20,-0.014903917908668518,0.001,False,False,False,4.385380947269368e-15,True,,,,,
2,1,0.09648707509040833,0.001,True,False,False,0.08872389676605003,True,,,,,
2,2,0.08832485973834991,0.001,True,False,False,0.08203894736329984,True,,,,,
2,3,0.08046229183673859,0.001,True,False,False,0.07537020182505222,True,,,,,
2,4,0.07283943891525269,0.001,True,False,False,0.06859147222403664,True,,,,,
2,5,0.06539586186408997,0.001,True,False,False,0.061640028567962024,True,,,,,
2,6,0.058078937232494354,0.001,True,False,False,0.05448994721602807,True,,,,,
2,7,0.050850361585617065,0.001,True,False,False,0.047133677371883065,True,,,,,
2,8,0.043691251426935196,0.001,True,False,False,0.03956946097524494,True,,,,,
2,9,0.03660576045513153,0.001,True,False,False,0.03179256110229878,True,,,,,
2,10,0.029623987153172493,0.001,True,False,False,0.023789256761894195,True,,,,,
2,11,0.022804947569966316,0.001,True,False,False,0.015533609010414395,True,,,,,
2,12,0.0169626846909523,0.001,True,False,False,0.008721218580882262,True,,,,,
2,13,0.01582273095846176,0.001,True,False,False,0.006740737021252496,True,,,,,
2,14,0.01596555858850479,0.001,True,False,False,0.005476839996157418,True,,,,,
2,15,0.016285140067338943,0.001,True,False,False,0.0048699906932813675,True,,,,,
2,16,0.016560986638069153,0.001,True,False,False,0.004893882700060498,True,,,,,
2,17,0.01656842604279518,0.001,True,False,False,0.005501520184691133,True,,,,,
2,18,0.016079597175121307,0.001,True,False,False,0.006624082534009257,True,,,,,
2,19,0.014867179095745087,0.001,True,False,False,0.00817831919431855,True,,,,,
2,20,0.013763844966888428,0.001,True,False,False,0.00929174379577316,True,,,,,
3,1,0.08994361013174057,0.001,True,False,False,0.08152722758539738,True,,,,,
3,2,0.08319515734910965,0.001,True,False,False,0.07438904140033478,True,,,,,
3,3,0.0764792412519455,0.001,True,False,False,0.06717841103900168,True,,,,,
3,4,0.06967143714427948,0.001,True,False,False,0.05986298522575301,True,,,,,
3,5,0.06270781904459,0.001,True,False,False,0.052412652719327435,True,,,,,
3,6,0.05556226894259453,0.001,True,False,False,0.04480272799102136,True,,,,,
3,7,0.04823192581534386,0.001,True,False,False,0.037014662722237524,True,,,,,
3,8,0.04072767496109009,0.001,True,False,False,0.029035260288244102,True,,,,,
3,9,0.03306803107261658,0.001,True,False,False,0.02085540355950255,True,,,,,
3,10,0.025275040417909622,0.001,True,False,False,0.012468536510599593,True,,,,,
3,11,0.017439978197216988,0.001,True,False,False,0.004731986758406054,True,,,,,
3,12,0.011514685116708279,0.001,True,False,False,0.005491187464999131,True,,,,,
3,13,0.009787820279598236,0.001,True,False,False,0.0077815245893841645,True,,,,,
3,14,0.00896913930773735,0.001,True,False,False,0.007604265238524227,True,,,,,
3,15,0.008855663239955902,0.001,True,False,False,0.00767543177697827,True,,,,,
3,16,0.009427297860383987,0.001,True,False,False,0.007908795712089078,True,,,,,
3,17,0.010640699416399002,0.001,True,False,False,0.008220813077705669,True,,,,,
3,18,0.012415345758199692,0.001,True,False,False,0.008527599552874382,True,,,,,
3,19,0.014620468020439148,0.001,True,False,False,0.008743387734455849,True,,,,,
3,20,0.015755556523799896,0.001,True,False,False,0.008646488667776897,True,,,,,
4,1,0.08277307450771332,0.001,True,False,False,0.07450484736734814,True,,,,,
4,2,0.07565659284591675,0.001,True,False,False,0.06728879120758746,True,,,,,
4,3,0.06846027076244354,0.001,True,False,False,0.05980455970540505,True,,,,,
4,4,0.06114641949534416,0.001,True,False,False,0.05204072303418916,True,,,,,
4,5,0.053681954741477966,0.001,True,False,False,0.04399487345047029,True,,,,,
4,6,0.04604214057326317,0.001,True,False,False,0.035669588191697854,True,,,,,
4,7,0.038211021572351456,0.001,True,False,False,0.02706890563329739,True,,,,,
4,8,0.030180392786860466,0.001,True,False,False,0.01819614827469318,True,,,,,
4,9,0.021947873756289482,0.001,True,False,False,0.009052726086710594,True,,,,,
4,10,0.013969378545880318,0.001,True,False,False,0.00263344677316224,True,,,,,
4,11,0.010520368814468384,0.001,True,False,False,0.005191411066235774,True,,,,,
4,12,0.009311731904745102,0.001,True,False,False,0.0034925328310471127,True,,,,,
