time,solve_mode,solver_status,u0,s,psdf,mf_probability_sum,mf_slack
0.0,sqp_rti,0,"[0.0905645202332938,-3.015835116980083e-09,0.09928019311490179]",0.025739407612337718,0.10499998927116394,"[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]","[null,3.0324212346604994e-13,3.0324212346604994e-13,3.0324212346604994e-13,3.0324212346604994e-13,3.0324212346604994e-13,3.0324212346604994e-13,3.0324212346604994e-13,3.0324212346604994e-13,3.0324212346604994e-13,3.0324212346604994e-13,3.0324212346604994e-13,3.0324212346604994e-13,3.0324212346604994e-13,3.0324212346604994e-13,3.0324212346604994e-13,3.0324212346604994e-13,3.0324212346604994e-13,3.0324212346604994e-13,3.0324212346604994e-13,1.4564195163366282e-13]"
0.1,sqp_rti,0,"[0.06916786896187034,1.1074918860763852,0.07510356635323655]",0.03379732701596546,0.10499998927116394,"[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]","[null,1.0811679504616136e-12,1.0811679504616136e-12,1.0811679504616136e-12,1.0811679504616136e-12,1.0811679504616136e-12,1.0811679504616136e-12,1.0811679504616136e-12,1.0811679504616136e-12,1.0811679504616136e-12,1.0811679504616136e-12,1.0811679504616136e-12,1.0811679504616136e-12,1.0811679504616136e-12,1.0811679504616136e-12,1.0811679504616136e-12,1.0811679504616136e-12,1.0811679504616136e-12,1.0811679504616136e-12,1.0811679504616136e-12,1.0966211567146492e-12]"
0.2,sqp_rti,0,"[0.0681617043998093,0.8949401980517762,0.08229371926875505]",0.039194305205775395,0.09698647260665894,"[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]","[null,1.05195787433355e-13,1.05195787433355e-13,1.05195787433355e-13,1.05195787433355e-13,1.05195787433355e-13,1.05195787433355e-13,1.05195787433355e-13,1.05195787433355e-13,1.05195787433355e-13,1.05195787433355e-13,1.05195787433355e-13,1.05195787433355e-13,1.05195787433355e-13,1.05195787433355e-13,1.05195787433355e-13,1.05195787433355e-13,1.05195787433355e-13,1.05195787433355e-13,1.05195787433355e-13,8.816338623942666e-14]"
0.30000000000000004,sqp_rti,0,"[0.07952802173724147,0.899348657658984,0.07920174080640627]",0.0483597469710738,0.09022776037454605,"[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]","[null,1.2502987670755751e-15,1.2502987670755751e-15,1.2502987670755751e-15,1.2502987670755751e-15,1.2502987670755751e-15,1.2502987670755751e-15,1.2502987670755751e-15,1.2502987670755751e-15,1.2502987670755751e-15,1.2502987670755751e-15,1.2502987670755751e-15,1.2502987670755751e-15,1.2502987670755751e-15,1.2502987670755751e-15,1.2502987670755751e-15,1.2502987670755751e-15,1.2502987670755751e-15,1.2502987670755751e-15,1.2502987670755751e-15,9.516111042212029e-16]"
0.4,sqp_rti,0,"[0.09151179315759661,0.7909151594015873,0.09731347346233102]",0.05525544649690004,0.08308687061071396,"[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]","[null,2.7019007283186604e-16,2.7019007283186604e-16,2.7019007283186604e-16,2.7019007283186604e-16,2.7019007283186604e-16,2.7019007283186604e-16,2.7019007283186604e-16,2.7019007283186604e-16,2.7019007283186604e-16,2.7019007283186604e-16,2.7019007283186604e-16,2.7019007283186604e-16,2.7019007283186604e-16,2.7019007283186604e-16,2.7019007283186604e-16,2.7019007283186604e-16,2.7019007283186604e-16,2.7019007283186604e-16,2.7019007283186604e-16,5.963516476178965e-17]"
0.5,sqp_rti,0,"[0.1043743158509746,0.7255345056104464,0.10111561882728995]",0.065637106532419,0.07600974291563034,"[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]","[null,6.903426705006912e-17,6.903426705006912e-17,6.903426705006912e-17,6.903426705006912e-17,6.903426705006912e-17,6.903426705006912e-17,6.903426705006912e-17,6.903426705006912e-17,6.903426705006912e-17,6.903426705006912e-17,6.903426705006912e-17,6.903426705006912e-17,6.903426705006912e-17,6.903426705006912e-17,6.903426705006912e-17,6.903426705006912e-17,6.903426705006912e-17,6.903426705006912e-17,6.903426705006912e-17,1.8544006804442575e-17]"
0.6,sqp_rti,0,"[0.114297336501189,0.6287144838045279,0.10866440265646182]",0.07596280770030836,0.06853125989437103,"[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]","[null,2.63360509819363e-15,2.63360509819363e-15,2.63360509819363e-15,2.63360509819363e-15,2.63360509819363e-15,2.63360509819363e-15,2.63360509819363e-15,2.63360509819363e-15,2.63360509819363e-15,2.63360509819363e-15,2.63360509819363e-15,2.63360509819363e-15,2.63360509819363e-15,2.63360509819363e-15,2.63360509819363e-15,2.63360509819363e-15,2.63360509819363e-15,2.63360509819363e-15,2.63360509819363e-15,8.59230342152939e-16]"
0.7,sqp_rti,0,"[0.12266019845152422,0.5716551614573262,0.11150154255533151]",0.08759396075271104,0.06073695793747902,"[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]","[null,3.198797932641329e-17,3.198797932641329e-17,3.198797932641329e-17,3.198797932641329e-17,3.198797932641329e-17,3.198797932641329e-17,3.198797932641329e-17,3.198797932641329e-17,3.198797932641329e-17,3.198797932641329e-17,3.198797932641329e-17,3.198797932641329e-17,3.198797932641329e-17,3.198797932641329e-17,3.198797932641329e-17,3.198797932641329e-17,3.198797932641329e-17,3.198797932641329e-17,3.198797932641329e-17,8.87450250849136e-18]"
0.7999999999999999,sqp_rti,0,"[0.12906955482901122,0.5341861261423984,0.11442562196411263]",0.09958165630931792,0.05242180451750755,"[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]","[null,3.120005667026666e-14,3.120005667026666e-14,3.120005667026666e-14,3.120005667026666e-14,3.120005667026666e-14,3.120005667026666e-14,3.120005667026666e-14,3.120005667026666e-14,3.120005667026666e-14,3.120005667026666e-14,3.120005667026666e-14,3.120005667026666e-14,3.120005667026666e-14,3.120005667026666e-14,3.120005667026666e-14,3.120005667026666e-14,3.120005667026666e-14,3.120005667026666e-14,3.120005667026666e-14,8.5689871144418e-15]"
0.8999999999999999,sqp_rti,0,"[0.13468684536373193,0.5145081293190507,0.11435488383097306]",0.11247730416268384,0.043548017740249634,"[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]","[null,1.2979232254136004e-13,1.2979232254136004e-13,1.2979232254136004e-13,1.2979232254136004e-13,1.2979232254136004e-13,1.2979232254136004e-13,1.2979232254136004e-13,1.2979232254136004e-13,1.2979232254136004e-13,1.2979232254136004e-13,1.2979232254136004e-13,1.2979232254136004e-13,1.2979232254136004e-13,1.2979232254136004e-13,1.2979232254136004e-13,1.2979232254136004e-13,1.2979232254136004e-13,1.2979232254136004e-13,1.2979232254136004e-13,4.1697904744819584e-14]"
