timestep,time,x,y,theta,v,omega,controller_computation_time,solver_computation_time,solver_raw_status,solver_status_code,solver_success
0,0.1,0.075,0.7813326245826607,-1.5702785568819317,0.13667375417339156,0.005177699129649204,3.5797359730004246,1.8498444557189941,success,0,True
1,0.2,0.0750123988593855,0.7573859680330032,-1.6323001706043734,0.2394665975953579,-0.6202161372244165,0.29679025699988415,0.2901432514190674,success,0,True
2,0.30000000000000004,0.07356433550493947,0.733871388615529,-1.5743330443932944,0.2355912419125952,0.5796712621107912,0.34612531699985993,0.33902692794799805,success,0,True
