time,footprint_clearance_m
0.0,0.029999999999999992
0.1,0.024015825469225642
0.2,0.01923120439231321
0.30000000000000004,0.01618173169844947
0.4,0.014378573028885927
0.5,0.012484187880428349
0.6000000000000001,0.01055696808187126
0.7000000000000001,0.00863055514378
0.8,0.006925166196384169
0.9,0.0055608210630138655
1.0,0.004469549146570356
1.1,0.003595841325013699
1.2000000000000002,0.00289747310387109
1.3,0.002339142146315115
1.4000000000000001,0.0018934857046292997
1.5,0.001539586571326912
1.6,0.0012524345610602783
1.7000000000000002,0.0010245847970312518
1.8,0.0008435023798680102
1.9000000000000001,0.000701249035911886
2.0,0.0005914608536840101
2.1,0.000510203435032931
2.2,0.0008986283573205326
2.3000000000000003,0.0007446778849637192
2.4000000000000004,0.002922808617832375
2.5,0.002570571736435658
2.6,0.002062172923784956
2.7,0.0016709017634358278
2.8000000000000003,0.0013568525779003315
2.9000000000000004,0.0011050856308132226
3.0,0.0009072432604015325
3.1,0.0007990650879893489
3.2,0.0008317982496921262
3.3000000000000003,0.001051095381422664
3.4000000000000004,0.0014972720769222008
3.5,0.0022045940140047516
3.6,0.003201001178314531
3.7,0.00450734115909349
3.8000000000000003,0.006136479700121872
3.9000000000000004,0.008092511735631224
4.0,0.010623384910242298
4.1000000000000005,0.008518355835868574
4.2,0.006835015479496387
4.3,0.0054891681565077954
4.4,0.004413680114671137
4.5,0.0035525741278770173
4.6000000000000005,0.002863605085462906
4.7,0.0023127496499851653
4.800000000000001,0.0018744529876628779
4.9,0.0015221537787205278
5.0,0.001239383373047661
5.1000000000000005,0.0010148348657526857
5.2,0.0008368005883886685
5.300000000000001,0.0007990623779940583
5.4,0.0006712305106864246
5.5,0.0008240815852985495
5.6000000000000005,0.0008241153731831926
5.7,0.0008733898365487367
5.800000000000001,0.0010097911556745493
5.9,0.0011797492653500016
6.0,0.0013787181122627342
6.1000000000000005,0.0016025596910335923
6.2,0.0018475116303474958
6.300000000000001,0.0021101683887970995
6.4,0.002508175696791619
6.5,0.009569866536627754
6.6000000000000005,0.017764392841321974
6.7,0.02595653777512369
6.800000000000001,0.034145476362054394
6.9,0.04233132490719804
7.0,0.05051457286656513
7.1000000000000005,0.05872752320305413
7.2,0.06372450166604948
7.300000000000001,0.05545152198987413
7.4,0.047657598215975705
7.5,0.040319234585444064
7.6000000000000005,0.033666534529651404
7.7,0.02813674473790895
7.800000000000001,0.027640384663217735
7.9,0.02210184878097355
8.0,0.017687251595037715
8.1,0.014161959374270824
8.200000000000001,0.011344916014852397
8.3,0.009093233475728874
8.4,0.0072931208499036485
8.5,0.005854511239951357
8.6,0.004703034150899695
8.700000000000001,0.003782564314064043
8.8,0.0030466083664299677
8.9,0.002458768687496671
9.0,0.001987154143002532
9.1,0.0016112343993215361
9.200000000000001,0.0016506755356462675
9.3,0.0017433926606203866
9.4,0.001416796067293058
9.5,0.001156696049727901
9.600000000000001,0.0009515061801360636
9.700000000000001,0.0007825447411825559
9.8,0.0006479084272642543
9.9,0.0005411164574145033
10.0,0.00045735383825307174
10.100000000000001,0.0012276902864067907
10.200000000000001,0.0010077039835786339
10.3,0.0010478245440681635
10.4,0.0009737965242423648
10.5,0.001145923364370218
10.600000000000001,0.0011736069651072903
10.700000000000001,0.000963869457540012
10.8,0.0009546946802430614
10.9,0.0007828421794260856
11.0,0.000943273718345897
11.100000000000001,0.0014124345247503976
11.200000000000001,0.0021895074166450343
11.3,0.0032577210213719523
11.4,0.004595790141270896
11.5,0.0061952799222837205
11.600000000000001,0.007914064578908288
11.700000000000001,0.008397944932833261
11.8,0.007351738863896915
11.9,0.006008706591404771
12.0,0.004826327457326405
12.100000000000001,0.003881391259138479
12.200000000000001,0.003127055545676639
12.3,0.0045058823463012265
12.4,0.0036894628240334015
12.5,0.002972608571091991
12.600000000000001,0.0028784626264213822
12.700000000000001,0.002314971307192623
12.8,0.0019164237746541013
12.9,0.002048004748508265
13.0,0.0026920278668090825
13.100000000000001,0.003814909086370605
13.200000000000001,0.005369114512143429
13.3,0.004316445052385487
13.4,0.003473652510948999
13.5,0.002800022999768559
13.600000000000001,0.0022619631762983428
13.700000000000001,0.0018323582636141644
13.8,0.0014866416760319634
13.9,0.0012103185365262004
14.0,0.000989993604442252
14.100000000000001,0.0015946927272664452
14.200000000000001,0.0014995069995298923
14.3,0.0012214078796999317
14.4,0.0010041314326434156
14.5,0.0009566620129883695
14.600000000000001,0.0011610841741240031
14.700000000000001,0.001562286860996522
14.8,0.001266032298822228
14.9,0.0010981011013784904
15.0,0.0012614439610040573
15.100000000000001,0.0017368612977305485
15.200000000000001,0.0025182969334377504
15.3,0.003596353000041092
15.4,0.004956746094734658
15.5,0.006533194178571287
15.600000000000001,0.008190844007881292
15.700000000000001,0.007872660610135362
15.8,0.0066117907323251105
15.9,0.005307894586624137
16.0,0.004266893575349887
16.1,0.0034338092481401646
16.2,0.002767903158387225
16.3,0.0048127199073626885
16.400000000000002,0.003870731293630609
16.5,0.0031165699838897423
16.6,0.002724415266152239
16.7,0.0021961120748054137
16.8,0.0022416508675341443
16.900000000000002,0.002886074310469576
17.0,0.004077331869243069
17.1,0.004837694387362951
17.2,0.004837718147051655
17.3,0.004837711250921302
17.400000000000002,0.0048919032533625085
17.5,0.004955234419198145
17.6,0.005024408612668347
17.7,0.005098493856060576
17.8,0.005466707955017025
17.900000000000002,0.006724167653671342
18.0,0.007969738356093825
18.1,0.009089459192679894
18.2,0.010123418343429669
18.3,0.011113983981234532
18.400000000000002,0.012071717953552774
18.5,0.013006505486997555
18.6,0.013912988072945276
18.7,0.014815013759466589
18.8,0.01572177198396496
18.900000000000002,0.01664140780059975
19.0,0.01587139862694631
19.1,0.01384574175494302
19.200000000000003,0.011811587416528324
19.3,0.009812886932179965
19.400000000000002,0.007879622223879501
19.5,0.0063249138193756105
19.6,0.005080248252521069
19.700000000000003,0.004084841312107623
19.8,0.003288739784829745
19.900000000000002,0.0026521892976409567
20.0,0.002142416296450749
20.1,0.0017347174168361222
20.200000000000003,0.001410095598786237
20.3,0.0011551745263367365
20.400000000000002,0.001208501276431293
20.5,0.0013284630490755884
20.6,0.0010856372646924912
20.700000000000003,0.0010961954313357712
20.8,0.0014351815587176802
20.900000000000002,0.002096092443770249
21.0,0.0023072637096780485
21.1,0.0035093057668118526
21.200000000000003,0.00548009817880913
21.3,0.006959621965422904
21.400000000000002,0.006193850205522241
21.5,0.004972686656765592
21.6,0.003997690561916092
21.700000000000003,0.003219298419627004
21.8,0.002595503349208873
21.900000000000002,0.0022771469297173663
22.0,0.004413091158201719
22.1,0.0035507430302281332
22.200000000000003,0.0030223771820371463
22.3,0.0025588438772887164
22.400000000000002,0.0020608681177661453
22.5,0.002004241972064541
22.6,0.002400860920664582
22.700000000000003,0.003225652794104531
22.8,0.004440341867668638
22.900000000000002,0.0035729470950118802
23.0,0.0028806632273425947
23.1,0.002324923892512709
23.200000000000003,0.0018812538082328967
23.3,0.001526968189802358
23.400000000000002,0.0012448904275207395
23.5,0.0010220473160817978
23.6,0.00083879355476979
23.700000000000003,0.0006927277083922379
23.8,0.000576748843117888
23.900000000000002,0.000488585393263991
24.0,0.0004210920600648749
24.1,0.00037080674179028637
24.200000000000003,0.0003345890619957539
24.3,0.0010989235800400801
24.400000000000002,0.0009010593775952112
24.5,0.001133085889209028
24.6,0.0009273089842858351
24.700000000000003,0.0010970102151643434
