time,stage,v,omega,sigma_f,sigma_l,sigma_psi,P_lpsi
0.0,0,0.12340122720970081,4.946007985983568e-08,0.00020000044227079568,0.0002499998839737762,0.0002499998839737762,-7.255781460873461e-27
0.0,1,0.12264225216984112,3.653261948379329e-08,0.00020000089348023618,0.00025000024494235975,0.00025000024494235975,7.712576700606301e-10
0.0,2,0.12180372292104398,2.6736936630736562e-08,0.00020000089348023618,0.00025000024494235975,0.00025000024494235975,1.5377717461221373e-09
0.0,3,0.12085914214844043,1.967375310192853e-08,0.00020000089348023618,0.00025000024494235975,0.00025000024494235975,2.299045014378662e-09
0.0,4,0.11980105249191537,1.4569857887418699e-08,0.00020000089348023618,0.00025000024494235975,0.00025000024494235975,3.0544146528064148e-09
0.0,5,0.11863597037171592,1.0820080423719721e-08,0.00020000089348023618,0.00025000024494235975,0.00025000024494235975,3.803171230880886e-09
0.0,6,0.11738205923893806,8.005598718782785e-09,0.00020000089348023618,0.00025000024494235975,0.00025000024494235975,4.54464604570411e-09
0.0,7,0.11606860053259613,5.846009270298051e-09,0.00020000089348023618,0.00025000024494235975,0.00025000024494235975,5.278283915947473e-09
0.0,8,0.11473668090996339,4.155142701669215e-09,0.00020000089348023618,0.00025000024494235975,0.00025000024494235975,6.003712669276199e-09
0.0,9,0.11344064287472039,2.8093192977980714e-09,0.00020000089348023618,0.00025000024494235975,0.00025000024494235975,6.72081692496347e-09
0.0,10,0.11224974911198464,1.7261909535144643e-09,0.00020000089348023618,0.00025000024494235975,0.00025000024494235975,7.429820942930473e-09
0.0,11,0.11124913053617452,8.511355721408439e-10,0.00020000089348023618,0.00025000024494235975,0.00025000024494235975,8.131381874880377e-09
0.0,12,0.11053831193712228,1.4874515282709575e-10,0.00020000089348023618,0.00025000024494235975,0.00025000024494235975,8.826688940731469e-09
0.0,13,0.11022431502816207,-4.02310131596672e-10,0.00020000089348023618,0.00025000024494235975,0.00025000024494235975,9.517553390338482e-09
0.0,14,0.11040453940944454,-8.122562176824347e-10,0.00020000089348023618,0.00025000024494235975,0.00025000024494235975,1.0206455359264495e-08
0.0,15,0.11113281033720677,-1.0819796330114774e-09,0.00020000089348023618,0.00025000024494235975,0.00025000024494235975,1.0896483730573524e-08
0.0,16,0.11236171805326065,-1.2045375731208402e-09,0.00020000089348023618,0.00025000024494235975,0.00025000024494235975,1.1591063795181066e-08
0.0,17,0.11385875551640433,-1.1675451531695947e-09,0.00020000089348023618,0.00025000024494235975,0.00025000024494235975,1.2293324533013945e-08
0.0,18,0.11510645276337512,-9.575514877857737e-10,0.00020000089348023618,0.00025000024494235975,0.00025000024494235975,1.3004941754991471e-08
0.0,19,0.11521745385599487,-5.666673311732502e-10,0.00020000089348023618,0.00025000024494235975,0.00025000024494235975,1.3724357084762566e-08
0.0,20,,,0.00020000089348023618,0.00025000024494235975,0.00025000024494235975,1.4444466171362534e-08
0.1,0,0.11435426775268853,0.08797675606222628,0.00019999996132689425,0.00024999999961225835,0.00024999999513700014,-1.1065263258782271e-15
0.1,1,0.11368916945544605,0.10700938802147958,0.0016245030699683248,0.0025760022628672067,0.005558128509460262,1.74597285445629e-07
0.1,2,0.11364529208467627,0.1267947604761252,0.002282109580402391,0.003775319690131452,0.007890008380915811,7.292788969079624e-07
0.1,3,0.1137746118663021,0.14705993178101853,0.002788864037776056,0.004879791470997387,0.009754700833197707,1.6723648499149092e-06
0.1,4,0.11385342365149954,0.16742688480869863,0.0032181760313568022,0.005992183040971918,0.011408246969209305,3.019770630064492e-06
0.1,5,0.11376567485406022,0.187476877069516,0.0035975133810559738,0.007142272683274695,0.012945368879167762,4.7907963486795955e-06
